rank|spec|name|avance|prioridad|estado|estado_manual|estado_real|descripcion|por_que_ahora|por_que_no_ahora|beneficio|peligros|estimado|se_cruza_con|notes
1|SPEC-182|Unified Auth + Host-Mode Access|22/22|P0|done|done|Completada y archivada 2026-06-04 (PR #1445); entry del indice borrada por stale-base edit, restaurada 2026-06-15|Login unificado web/admin; consolida BETA-52 (redirect) y BETA-57 (OAuth role bug)|Sin login coherente web/admin no entra ningun usuario; ya esta atomizada y con worktree|Necesita 3 decisiones tuyas (T-010/T-014/T-017) antes de codear; bloquea trabajo si no las tomas|Login unificado y consistente entre apps|Toca auth en web+admin+api+schemas+service-core: regresion de auth deja a todos afuera|5-8 dias|SPEC-102 (auth admin), SPEC-174 (admin), SPEC-169 (permisos)|-
2|SPEC-028|IVA/Tax + ARCA e-invoicing|-|P0|backlog|backlog|Draft, sin tasks, complexity high|Facturacion electronica ARCA + manejo de IVA|Facturacion legal en Argentina; sin esto no podes cobrar en blanco|Es enorme y aun no esta atomizada; si la beta cobra por MP sin factura propia todavia, baja a P1|Cumplimiento fiscal AR, facturas electronicas validas|Integracion ARCA es fragil y legalmente sensible: errores fiscales tienen costo real|3-4 semanas|SPEC-122 (billing), SPEC-150 (multi-currency)|-
3|SPEC-145|Billing Entitlements & Limits|0/0|P0|done|done|Reserved; gate explicito real-money-go-live; bloqueada por 143|Enforcement de entitlements y limites por plan|Es el gate declarado para dinero real; sin gates cualquiera usa cualquier plan|Bloqueada por SPEC-143; atomiza recien al activar|Base para monetizar: limita features segun plan pagado|Si los gates fallan, se regalan features de pago o se bloquean clientes que pagaron|1-2 semanas|SPEC-143, SPEC-167, SPEC-147, SPEC-148|-
4|SPEC-149|Billing error propagation + Sentry|-|P0|done|done|Draft; depende de 143|Propagar errores de MP al usuario y a Sentry (qzpay los traga)|qzpay se traga errores de MP; cobrar a ciegas en prod es inaceptable|Depende de 143; refactor high complexity|Errores de pago visibles para el usuario y con contexto en Sentry|Refactor de la capa de errores qzpay puede romper flujos de cobro existentes|5-8 dias|SPEC-143, SPEC-180 (Sentry), SPEC-184|-
5|SPEC-129|Security Audit deps remediation|-|P0|backlog|backlog|Draft, sin tasks|Remediacion de vulnerabilidades en dependencias|No salis a prod con vulnerabilidades conocidas en dependencias|Bumps de deps pueden romper builds; requiere ventana de regresion|Cierra CVEs y supply-chain antes de exponer la app|Upgrades de paquetes core pueden introducir breaking changes transitivos|3-5 dias|SPEC-045 (Vite7), SPEC-132 (Zod4)|-
6|SPEC-142|CSP Phase 2 + gaps 046|-|P0|backlog|backlog|Draft; depende de 046|CSP fase 2 cubriendo auth flows y MercadoPago|Headers de seguridad en flujos auth y MercadoPago antes de prod|Depende de SPEC-046 cerrado; CSP mal puesto rompe paginas|Mitiga XSS/inyeccion en checkout y auth|Un CSP demasiado estricto bloquea MP/PostHog/Sentry y tira features en prod|3-5 dias|SPEC-046, SPEC-181 (PostHog hosts), SPEC-180|-
7|SPEC-167|Downgrade preflight + remediation|26/26|P0|done|done|Completada y archivada 2026-06-07 (PR #1484/#1485); tasks/index entry faltante reconstruida en cleanup 2026-06-15|Preflight de downgrade + remediacion de exceso de recursos|Correctness de billing en downgrades; viene de hallazgos de smoke|Depende de fixes de smoke de 143 (F-B1/F-B2/F-A1/F-E1)|Evita estados invalidos al bajar de plan (exceso de recursos)|Logica de remediacion mal hecha puede borrar/bloquear datos del usuario|4-6 dias|SPEC-143, SPEC-145, SPEC-147|-
8|SPEC-147|User self-service cancellation|-|P0|done|done|Draft; depende de 143+109|El usuario cancela su propia suscripcion (preapproval MP + cron)|Derecho de baja: requisito legal para cobrar suscripciones recurrentes|Depende de 143 y 109; toca preapproval MP + cron|El usuario cancela solo, sin intervencion manual ni reclamos|Cancelacion mal sincronizada con MP deja cobros fantasma o accesos colgados|4-6 dias|SPEC-143, SPEC-109, SPEC-148|-
9|SPEC-104|Beta-to-Prod Data Migration|-|P0|backlog|backlog|Draft, sin tasks, complexity high|Script de migracion de datos de beta a produccion|Cutover de datos beta->prod; sin esto no hay launch real|Solo tiene sentido cerca del go-live, cuando el esquema este estable|Migra usuarios/contenido de beta a prod sin perdida|Script de migracion con bug = perdida o corrupcion de datos de produccion|1-2 semanas|Todas las specs con cambios de schema (150, 166, 187, 192)|-
10|SPEC-193|Billing Go-Live Readiness (epic master)|-|P0|backlog|backlog|Draft (epic); hijos 192/194/127 ya cerrados; quedan 147/148/149/167/128/131/150-opt|Epic maestro que secuencia los 11 specs de billing restantes para habilitar cobro real|Es el gate directo de SPEC-109 (MP prod); varios hijos ya cerraron, el camino esta definido|Es solo tracker: el trabajo vive en los hijos; cierra cuando cierren todos|Unico punto de verdad del camino al cobro real; define invariantes cross-cutting y orden de ejecucion|Tres specs tocan los mismos archivos (entitlement.ts): orden 192->145/194 obligatorio; INV-1 cache invalidation distribuido = bugs financieros silenciosos si un hijo lo omite|200-280h en hijos (el master no tiene esfuerzo propio)|SPEC-122 (lo supersede), SPEC-143, SPEC-109, hijos 127/128/131/145/147/148/149/150/167/192/194|-
11|SPEC-194|Billing Lifecycle Robustness & Bug Fixes|30/30|P0|done|done|COMPLETADA y archivada (2026-06-05); hija de 193|Fixes de robustez del ciclo de vida de billing (webhook mark-processed, lifecycle bugs)|Ya hecha: era gate del go-live y cerro junto a 192 y 127|-|Ciclo de vida de billing robusto antes del cobro real|Ya mitigados; la coordinacion 194-149 (mark-processed antes del Sentry wiring) quedo resuelta|Hecha|SPEC-193 (parent), SPEC-143, SPEC-149, SPEC-145, SPEC-167, SPEC-192|-
12|SPEC-180|Sentry Observability Hardening|0/14|P1|backlog|backlog|Empezada, atomizada, sin ejecutar|Source maps, environments y capture vvia logger en api/web/admin|Ver errores reales en prod desde el minuto cero|Ninguna fuerte; lista para ejecutar|Stack traces utiles y captura de errores centralizada|Config Sentry mal hecha = ruido o ceguera; source maps filtran codigo si mal scopeados|4-6 dias|SPEC-184 (logs), SPEC-149, SPEC-163|-
13|SPEC-184|API Log Observability|0/16|P1|backlog|backlog|Empezada, atomizada, sin ejecutar|Logs estructurados y observabilidad de la API|Operar la API a ciegas en prod no es opcion|Ninguna fuerte; lista para ejecutar|Logs estructurados y trazables de la API|Sobre-logging filtra datos sensibles o satura el storage de logs|5-7 dias|SPEC-180, SPEC-183 (errores)|-
